시도별,품목별,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전국,과일가공품,63.741,62.464,65.132,69.484,69.663,69.675,68.835,69.431,67.735,75.101,91.764,92.606,93.113,92.085,95.328,96.206,96.175,98.092,100,103.09
전국,단무지,67.491,68.618,73.257,74.214,74.882,75.445,82.545,83.757,85.635,93.101,95.121,98.202,102.638,100.817,94.561,93.296,96.541,99.891,100,100.24
전국,맛김,47.695,48.279,49.618,51.126,53.103,60.725,65.428,71.077,73.393,79.613,85.729,87.347,88.39,90.187,92.836,100.452,103.195,101.726,100,99.56
전국,초콜릿,53.034,52.824,52.163,51.827,51.43,54.255,66.974,75.901,78.028,78.23,78.405,78.841,92.026,96.244,96.382,95.648,96.102,98.616,100,99.6
전국,사탕,52.519,53.595,57.092,59.307,60.488,61.935,68.884,76.677,76.3,85.755,92.87,100.535,103.635,101.58,100.025,99.007,98.896,98.595,100,98.07
전국,껌,79.56,79.532,79.315,79.389,79.627,83.285,93.341,101.623,104.97,105.451,107.803,107.761,106.577,106.142,105.089,103.174,101.438,99.399,100,99.34
전국,아이스크림,62.227,60.665,59.647,61.473,62.293,61.073,69.864,77.055,77.469,84.661,88.062,89.42,96.282,100.124,99.96,97.181,96.387,98.266,100,98.68
전국,비스킷,36.454,38.89,40.425,42.022,44.133,47.848,63.372,72.042,72.088,80.451,82.458,87.849,99.275,100.077,100.565,103.519,101.002,101.027,100,104.26
전국,스낵과자,47.816,47.836,48.78,54.341,54.731,59.902,70.578,74.87,73.448,78.658,83.127,86.097,91.589,92.114,91.45,94.874,96.02,99.348,100,101.81
전국,파이,55.581,57.461,57.108,57.046,58.372,65.44,77.5,80.827,81.005,81.221,83.908,95.138,109.704,111.888,99.511,97.149,98.329,98.912,100,98.57
전국,설탕,55.898,54.368,54.287,54.652,64.412,64.953,65.3,76.485,80.821,99.14,102.615,99.292,98.921,98.533,97.999,98.344,98.902,99.683,100,101.85
전국,물엿,45.377,45.343,47.905,49.305,49.666,52.973,65.071,72.958,73.484,86.03,95.213,97.997,100.326,99.185,99.407,100.698,98.645,99.343,100,104.9
전국,소금,42.683,43.165,50.069,50.689,50.82,51.052,53.776,58.958,59.851,76.971,95.782,95.343,96.03,97.579,97.557,97.559,97.174,97.841,100,113.65
전국,간장,33.736,37.628,41.174,41.658,41.605,47.014,58.595,62.493,64.412,74.035,83.96,89.128,90.977,90.906,91.474,96.288,98.511,99.255,100,100.93
전국,된장,46.655,51.462,57.173,59.189,59.376,61.112,71.616,81.359,82.913,91.701,97.498,102.472,103.988,104.87,105.82,103.291,105.061,104.768,100,104.16
전국,양념소스,58.821,60.972,64.724,66.603,70.6,69.767,73.248,85.167,85.96,93.102,100.494,99.05,103.207,102.857,102.525,100.816,100.444,99.557,100,100.87
전국,고추장,39.69,44.142,48.126,48.797,48.87,52.851,57.136,62.389,66.81,80.783,93.756,98.169,100.335,101.073,100.716,101.415,102.277,107.91,100,98.5
전국,카레,49.526,51.549,51.685,52.74,53.1,58.204,64.741,73.963,81.611,93.057,98.465,97.787,96.796,95.052,97.289,98.137,101.009,100.889,100,101.24
전국,드레싱,48.823,52.016,58.352,60.486,61.59,66.075,75.288,82.329,82.012,93.288,94.745,95.368,96.301,94.959,96.758,98.451,99.358,99.582,100,107.94
전국,혼합조미료,35.423,36.192,37.735,38.591,40.302,41.312,44.567,53.614,55.513,57.164,62.702,66.919,70.823,82.521,84.419,88.421,91.106,96.967,100,100.11
전국,이유식,68.702,79.305,79.049,79.047,78.961,78.757,87.24,92.95,94.012,94.255,94.499,95.457,95.928,98.969,97.386,98.899,91.736,97.821,100,100
전국,김치,44.082,46.666,53.497,58.953,60.373,60.383,60.461,63.011,68.134,72.302,80.655,85.048,84.349,83.898,90.56,93.213,91.515,91.815,100,102.02
전국,냉동식품,53.114,57.597,59.673,66.479,69.543,72.324,78.119,82.368,82.767,88.94,93.143,93.76,94.352,99.156,98.978,95.543,96.874,99.244,100,101.26
전국,즉석식품,61.43,64.781,68.287,67.001,67.246,67.313,67.112,66.632,68.619,79.898,84.52,88.082,87.969,88.702,88.147,89.537,93.26,97.235,100,105.2
전국,커피,58.486,61.351,62.451,66.209,72.107,76.834,83.88,90.809,93.305,98.56,102.774,103.955,102.978,104.659,105.097,99.259,100.116,100.767,100,100.78
전국,차,77.085,78.268,79.246,80.191,80.8,81.428,87.154,89.72,89.942,92.864,97.408,97.564,99.532,101.392,98.74,99.301,97.834,98.266,100,96.53
전국,주스,62.29,62.51,65.147,66.288,66.581,71.779,81.082,89.81,93.236,102.297,106.903,107.338,106.137,104.896,103.903,103.108,101.674,101.516,100,102.11
전국,두유,45.438,49.337,51.676,57.249,59.615,60.426,69.144,78.884,79.089,79.207,81.652,87.458,88.183,88.292,87.943,90.252,96.194,99.234,100,105.36
전국,생수,74.876,74.682,74.558,74.726,74.832,78.93,79.714,80.605,79.814,85.447,90.775,90.135,90.238,90.766,90.688,90.809,94.57,99.412,100,99.94
전국,기능성음료,68.628,70.207,70.486,72.751,73.672,73.666,74.09,83.304,87.135,89.008,89.78,90.296,90.573,96.209,98.663,98.411,98.895,99.303,100,100.94
전국,탄산음료,41.015,43.144,45.429,48.247,49.514,51.246,55.391,60.759,63.388,69.411,74.473,78.843,84.33,90.371,89.952,94.172,94.475,95.432,100,105.22
전국,기타음료,58.038,57.636,58.547,59.979,60.584,62.028,65.236,70.543,74.699,78.503,81.174,86.849,89.532,90.634,91.973,92.828,95.289,100.123,100,103.81
전국,소주,59.894,63.581,67.878,69.342,69.539,71.995,73.526,78.53,77.98,76.453,76.252,82.194,82.222,83.022,88.332,93.292,94.108,97.525,100,100.58
전국,과실주,95.622,95.895,96.16,96.779,98.045,98.037,98.586,97.005,98.505,98.127,97.207,103.016,101.251,101.949,101.144,97.245,99.184,100.048,100,98.26
전국,맥주,76.628,80.907,81.012,82.192,79.583,79.042,81.001,83.884,86.046,86.104,87.832,90.798,91.179,91.757,92.454,98.195,98.591,99.758,100,100.17
전국,막걸리,85.577,85.42,85.347,85.289,86.683,90.925,91.678,92.446,91.758,92.263,91.589,92.408,92.437,93.099,94.783,97.503,98.982,99.431,100,112.75
전국,양주,77.697,77.937,78.481,79.114,80.828,82.219,84.783,86.984,89.639,91.813,92.203,96.59,97.026,99.08,99.09,99.43,100.749,101.235,100,99.61
